gene,score,diff_edge_count
GLUL,0.44800119243268344,6.0
CST3,0.4446872128202748,6.0
C1orf61,0.3778475751425195,5.0
MARCKSL1,0.3672295902141189,5.0
CRYAB,0.36433497429964723,5.0
ERBB4,0.32664711351130765,4.0
CNP,0.31375735267771154,4.0
SYNPR,0.3130955825291759,4.0
PCP4,0.3095130968578997,4.0
ATP1B2,0.3060748692028638,4.0
RP11-161M6.2,0.29534740796771,3.0
BCYRN1,0.2916673161783178,3.0
FTL,0.2619807389943958,3.0
COL5A3,0.2310278359806394,3.0
DNER,0.2257811834558336,3.0
NEAT1,0.2231934689261696,3.0
CXCL14,0.2132233183458876,3.0
SLC1A2,0.20913333787620236,3.0
QKI,0.17170723507248792,2.0
GAD2,0.1618001526891656,2.0
NTM,0.1504486267175878,2.0
MBP,0.1500021257686281,2.0
GAD1,0.1474656043095098,2.0
THSD7A,0.14141310445322008,2.0
SLC6A1,0.1372854386635822,2.0
MAF,0.135853966108882,2.0
RPL31,0.1318867249024715,2.0
RAB3B,0.0893811075991892,1.0
LAMP5,0.0831368290481406,1.0
RGS12,0.0760661461067673,1.0
RORB,0.0752499425013736,1.0
GRIK1,0.0744594589694984,1.0
CNR1,0.0727876431714643,1.0
DLX6-AS1,0.0699567956759911,1.0
NRIP3,0.0699567956759911,1.0
PTGDS,0.068100580459823,1.0
PVALB,0.0668501113062247,1.0
TSHZ2,0.0659039452806815,1.0
TYROBP,0.0,0.0
PPP1R14A,0.0,0.0
ZFP36,0.0,0.0
PCAT19,0.0,0.0
APOE,0.0,0.0
HIF3A,0.0,0.0
CHI3L1,0.0,0.0
PROX1,0.0,0.0
TMEM63A,0.0,0.0
AGT,0.0,0.0
ZFP36L2,0.0,0.0
RP11-89K21.1,0.0,0.0
EPAS1,0.0,0.0
CAPG,0.0,0.0
C1orf64,0.0,0.0
GPR17,0.0,0.0
ERMN,0.0,0.0
RFTN2,0.0,0.0
AC007163.3,0.0,0.0
RP11-574O16.1,0.0,0.0
SH3BP4,0.0,0.0
TGFBR2,0.0,0.0
MOBP,0.0,0.0
CCK,0.0,0.0
PLXNB1,0.0,0.0
LAMB2,0.0,0.0
SLC38A3,0.0,0.0
SEMA3B,0.0,0.0
IL17RB,0.0,0.0
RP11-553L6.5,0.0,0.0
GATA2,0.0,0.0
TF,0.0,0.0
FOXL2,0.0,0.0
CP,0.0,0.0
TM4SF18,0.0,0.0
TM4SF1,0.0,0.0
P2RY1,0.0,0.0
CLDN11,0.0,0.0
SST,0.0,0.0
HES1,0.0,0.0
FGFR3,0.0,0.0
CD38,0.0,0.0
RP11-496D24.2,0.0,0.0
KIT,0.0,0.0
IGFBP7,0.0,0.0
MEPE,0.0,0.0
SPP1,0.0,0.0
ABCG2,0.0,0.0
BMPR1B,0.0,0.0
DDIT4L,0.0,0.0
EMCN,0.0,0.0
ETNPPL,0.0,0.0
UGT8,0.0,0.0
SLC1A3,0.0,0.0
SEPP1,0.0,0.0
CARTPT,0.0,0.0
VCAN,0.0,0.0
CD74,0.0,0.0
NIPAL4,0.0,0.0
EBF1,0.0,0.0
HIST1H1C,0.0,0.0
